StyleCode,Lowest Price,Highest Price,
"HN-7162",1.99,1.99,
"HN-8320",1.99,1.99,
"HN-9161",1.59,1.59,
"HN-9168",1.99,1.99,
"HS-0296",34.20,34.20,
"HS-2451",102.29,102.29,
"HS-3479",99.78,99.78,
"HT-2981",1.99,1.99,
"HT-8019",1.59,1.59,
"HU-6280",1.99,1.99,
"HU-8998",1.99,1.99,
"HY-1023",54.99,54.99,
"KW-4091",1.59,1.59,
"LE-1000",1.99,1.99,
"LE-1200",1.99,1.99,
"LE-1201",1.59,1.59,
"LE-1400",1.99,1.99,
"LE-3800",1.59,1.59,
"LE-5160",1.99,1.99,
"LE-6000",1.59,1.59,
"LE-7160",1.99,1.99,
"LE-8000",1.59,1.59,
"LI-1000",1.99,1.99,
"LI-1200",1.59,1.59,
"LI-1201",1.99,1.99,
"LI-1400",1.99,1.99,
"LI-3800",1.99,1.99,
"LI-5160",1.59,1.59,
"LI-5800",1.99,1.99,
"LI-6000",1.99,1.99,
"LI-7160",1.99,1.99,
"LI-8000",1.59,1.59,
"LJ-0192",49.99,49.99,
"LJ-1213",1.99,1.99,
"LJ-1220",1.99,1.99,
"LJ-1420",1.99,1.99,
"LJ-1428",1.59,1.59,
"LJ-3410",1.99,1.99,
"LJ-3416",1.99,1.99,
"LJ-3816",1.99,1.99,
"LJ-3824",1.99,1.99,
"LJ-5161",1.99,1.99,
"LJ-5162",1.59,1.59,
"LJ-5811",1.99,1.99,
"LJ-5818",1.99,1.99,
"LJ-7161",1.99,1.99,
"LJ-7162",1.99,1.99,
"LJ-9080",1.99,1.99,
"LJ-9161",1.99,1.99,
"LN-1024",1.99,1.99,
"LN-1032",1.99,1.99,
"LN-1213",1.99,1.99,
"LN-1220",1.59,1.59,
"LN-1224",1.59,1.59,
"LN-1420",1.99,1.99,
"LN-1428",1.99,1.99,
"LN-3410",1.99,1.99,
"LN-3416",1.99,1.99,
"LN-3816",1.99,1.99,
"LN-3824",1.99,1.99,
"LN-4400",1.59,1.59,
"LN-5161",1.99,1.99,
"LN-5162",1.99,1.99,
"LN-5400",1.99,1.99,
"LN-5811",1.99,1.99,
"LN-5818",1.59,1.59,
"LN-6320",1.99,1.99,
"LN-7161",1.99,1.99,
"LN-7162",1.59,1.59,
"LN-8320",1.99,1.99,
"LN-9080",1.59,1.59,
"LN-9161",1.99,1.99,
"LO-C100",25.00,25.00,
"LR-2398",1.99,1.99,
"LR-8520",1.99,1.99,
"LT-H902",27.99,27.99,
"LT-H903",44.99,44.99,
"LT-T990",13.99,13.99,
"LW-1000",1.99,1.99,
"LW-1200",1.99,1.99,
"LW-1201",1.99,1.99,
"LW-1400",1.99,1.99,
"LW-3400",1.99,1.99,
"LW-3800",1.99,1.99,
"LW-4000",1.59,1.59,
"LW-5160",1.59,1.59,
"LW-5800",1.99,1.99,
"LW-6000",1.99,1.99,
"LW-7160",1.59,1.59,
"LW-8000",1.59,1.59,
"LW-9160",1.99,1.99,
"MA-7075",1.99,1.99,
"MB-2024",1.99,1.99,
"MB-6061",1.99,1.99,
"MP-2066",1.99,1.99,
"MP-2503",1.99,1.99,
"MP-4960",1.99,1.99,
"MS-0253",1.99,1.99,
"MS-1256",1.99,1.99,
"MS-1981",1.99,1.99,
"MS-2259",1.99,1.99,
"MS-2341",1.99,1.99,
"MS-2348",1.99,1.99,
"MS-6061",1.99,1.99,
"MT-1000",1.99,1.99,
"NI-4127",1.99,1.99,
"NI-9522",1.99,1.99,
"PA-187B",1.99,1.99,
"PA-361R",1.99,1.99,
"PA-529S",1.99,1.99,
"PA-632U",1.99,1.99,
"PA-823Y",1.59,1.59,
"PA-T100",100.00,100.00,
"PB-6109",1.99,1.99,
"PD-M282",32.39,32.39,
"PD-M340",62.09,62.09,
"PD-M562",80.99,80.99,
"PD-R347",40.49,40.49,
"PD-R563",62.09,62.09,
"PD-R853",80.99,80.99,
"PD-T852",80.99,80.99,
"PK-7098",2.29,2.29,
"PU-0452",19.99,19.99,
"PU-M044",24.99,24.99,
"RA-2345",1.99,1.99,
"RA-7490",1.99,1.99,
"RA-H123",96.00,96.00,
"RB-9231",106.50,106.50,
"RC-0291",1.99,1.99,
"RD-2308",97.17,97.17,
"RF-9198",1.99,1.99,
"RM-M464",1.99,1.99,
"RM-M692",1.99,1.99,
"RM-M823",1.99,1.99,
"RM-R436",1.99,1.99,
"RM-R600",1.99,1.99,
"RM-R800",1.99,1.99,
"RM-T801",1.99,1.99,
"RW-M423",87.75,87.75,
"RW-M762",188.82,188.82,
"RW-M928",196.33,196.33,
"RW-R623",112.57,112.57,
"RW-R762",206.54,206.54,
"RW-R820",267.80,267.80,
"RW-T905",183.76,183.76,
"SA-M198",133.34,133.34,
"SA-M237",147.14,147.14,
"SA-M687",196.92,196.92,
"SA-R127",106.67,106.67,
"SA-R430",117.71,117.71,
"SA-R522",196.92,196.92,
"SA-T467",133.34,133.34,
"SA-T612",147.14,147.14,
"SA-T872",196.92,196.92,
"SB-M891",71.99,89.99,
"SD-2342",1.99,1.99,
"SD-9872",1.99,1.99,
"SE-M236",27.12,27.12,
"SE-M798",31.31,31.31,
"SE-M940",52.64,52.64,
"SE-R581",27.12,27.12,
"SE-R908",39.14,39.14,
"SE-R995",52.64,52.64,
"SE-T312",27.12,27.12,
"SE-T762",39.14,39.14,
"SE-T924",42.11,42.11,
"SH-4562",1.59,1.59,
"SH-9312",1.99,1.99,
"SH-M897",47.99,59.99,
"SH-W890",69.99,69.99,
"SJ-0194",53.99,53.99,
"SK-9283",1.99,1.99,
"SL-0931",1.59,1.59,
"SM-9087",1.99,1.99,
"SO-B909",7.60,9.50,
"SO-R809",8.99,8.99,
"SP-2981",1.99,1.99,
"SR-2098",1.59,1.59,
"SS-2985",1.99,1.99,
"ST-1401",159.00,159.00,
"ST-9828",1.99,1.99,
"TG-W091",74.99,74.99,
"TI-M267",24.99,24.99,
"TI-M602",29.99,29.99,
"TI-M823",35.00,35.00,
"TI-R092",21.49,21.49,
"TI-R628",24.99,24.99,
"TI-R982",32.60,32.60,
"TI-T723",28.99,28.99,
"TO-2301",1.99,1.99,
"TP-0923",1.59,1.59,
"TT-M928",4.99,4.99,
"TT-R982",3.19,3.19,
"TT-T092",4.99,4.99,
"VE-C304",63.50,63.50,
"WB-H098",4.99,4.99,
