SKU,Location,Quantity
HB-M763,Subassembly,313
FW-M928,Metal Storage,443
HB-R720,Subassembly,304
HB-M243,Frame Forming,267
SH-M897-L,Finished Goods Storage,144
PA-T100,Finished Goods Storage,72
BK-R50B-52,Final Assembly,123
TP-0923,Subassembly,409
SE-M236,Subassembly,214
FW-3400,Subassembly,332
GP-0982,Subassembly,289
HJ-1213,Tool Crib,369
HJ-3816,Miscellaneous Storage,691
LI-1201,Miscellaneous Storage,321
LN-7162,Miscellaneous Storage,508
LN-4400,Subassembly,473
LW-8000,Tool Crib,516
MS-2259,Frame Forming,176
SA-M198,Miscellaneous Storage,267
SA-R522,Miscellaneous Storage,275
LN-4400,Miscellaneous Storage,491
LN-1428,Subassembly,497
LR-8520,Subassembly,187
HN-1420,Miscellaneous Storage,264
DC-9824,Tool Crib,622
BK-T18Y-44,Final Assembly,80
FR-M63S-38,Debur and Polish,147
BK-T79U-60,Finished Goods Storage,30
RW-R623,Miscellaneous Storage,393
BK-R50B-62,Final Assembly,88
BK-M18S-42,Finished Goods Storage,60
FR-M21B-40,Frame Welding,142
FE-3760,Subassembly,390
HJ-5162,Tool Crib,369
GT-2908,Subassembly,246
HN-3416,Miscellaneous Storage,676
LN-9161,Tool Crib,624
LN-3824,Tool Crib,601
RM-R600,Miscellaneous Storage,390
RM-M692,Miscellaneous Storage,681
LW-8000,Miscellaneous Storage,584
HN-1224,Subassembly,691
HN-1224,Tool Crib,323
FR-M63S-38,Final Assembly,136
ST-9828,Miscellaneous Storage,443
SH-W890-S,Finished Goods Storage,216
SH-M897-X,Finished Goods Storage,180
SB-M891-S,Finished Goods Storage,72
HS-2451,Miscellaneous Storage,268
BK-R64Y-38,Final Assembly,81
CS-9183,Metal Storage,348
SE-M798,Subassembly,72
BK-R19B-52,Finished Goods Storage,78
BK-M18S-40,Finished Goods Storage,81
HN-1224,Miscellaneous Storage,897
KW-4091,Miscellaneous Storage,353
FC-3982,Subassembly,145
EC-M092,Frame Forming,585
LW-5160,Tool Crib,510
NI-4127,Subassembly,587
LN-3410,Miscellaneous Storage,510
LN-5400,Subassembly,475
LN-5161,Subassembly,468
LJ-7162,Miscellaneous Storage,518
LW-9160,Tool Crib,518
MA-7075,Frame Welding,355
MS-1256,Sheet Metal Racks,691
MS-1256,Metal Storage,531
CA-5965,Metal Storage,158
HU-8998,Frame Welding,302
HJ-5818,Subassembly,476
ST-1401,Finished Goods Storage,144
SR-2098,Final Assembly,374
ST-9828,Final Assembly,388
HJ-9080,Miscellaneous Storage,347
HN-4402,Miscellaneous Storage,192
MS-6061,Frame Forming,305
LN-3416,Tool Crib,611
TO-2301,Miscellaneous Storage,379
HL-U509,Finished Goods Storage,324
HB-R956,Frame Welding,260
TI-M602,Subassembly,284
TT-T092,Miscellaneous Storage,262
CS-6583,Tool Crib,272
SA-T612,Subassembly,329
SH-4562,Miscellaneous Storage,644
LN-4400,Tool Crib,596
LJ-9161,Tool Crib,630
LJ-3416,Subassembly,489
RM-T801,Subassembly,724
HN-5811,Subassembly,366
HJ-5818,Tool Crib,252
HN-1420,Tool Crib,156
LE-1400,Tool Crib,304
HT-8019,Frame Forming,398
CR-9981,Subassembly,513
GT-2908,Tool Crib,233
GL-H102-M,Finished Goods Storage,0
TI-M823,Miscellaneous Storage,267
TI-R092,Subassembly,252
BK-M38S-42,Final Assembly,73
BK-M38S-40,Final Assembly,67
BK-T44U-50,Finished Goods Storage,104
SE-M940,Final Assembly,96
CS-4759,Metal Storage,336
CS-9183,Subassembly,297
BK-R64Y-42,Final Assembly,123
FW-5160,Final Assembly,641
DC-9824,Miscellaneous Storage,587
EC-T209,Metal Storage,548
BA-8327,Miscellaneous Storage,318
CR-7833,Metal Storage,587
HN-8320,Subassembly,148
LE-1000,Miscellaneous Storage,350
HN-7162,Tool Crib,302
SA-R522,Subassembly,326
PA-361R,Paint,28
LJ-7161,Subassembly,497
LN-5161,Tool Crib,592
LW-1200,Subassembly,622
LN-5162,Tool Crib,595
LN-1024,Miscellaneous Storage,528
LJ-1213,Tool Crib,620
PA-187B,Paint,16
SA-M237,Final Assembly,214
MB-2024,Sheet Metal Racks,403
LE-7160,Tool Crib,411
FW-1400,Subassembly,606
FW-5800,Subassembly,246
RW-R820,Subassembly,284
BK-R93R-44,Final Assembly,121
BK-R68R-44,Final Assembly,99
BK-R50R-48,Finished Goods Storage,102
BK-M68S-46,Final Assembly,108
SE-R995,Miscellaneous Storage,169
TI-R982,Miscellaneous Storage,299
BK-M38S-38,Final Assembly,99
BB-9108,Tool Crib,321
PD-R563,Subassembly,150
HB-T928,Subassembly,294
FR-M94S-38,Final Assembly,121
FR-M94B-38,Subassembly,160
RW-R762,Subassembly,425
FW-1400,Final Assembly,499
HJ-1420,Tool Crib,499
FW-1000,Tool Crib,372
MS-1256,Frame Forming,459
LJ-9161,Subassembly,507
LN-3816,Miscellaneous Storage,500
LN-6320,Miscellaneous Storage,502
MS-0253,Sheet Metal Racks,321
LW-3800,Tool Crib,507
FW-9160,Subassembly,256
LI-1000,Miscellaneous Storage,321
HN-9161,Tool Crib,636
FR-M94S-38,Debur and Polish,132
BK-R50B-60,Finished Goods Storage,116
BK-T18U-58,Final Assembly,121
SE-M940,Miscellaneous Storage,91
BK-M18S-40,Final Assembly,73
FK-9939,Metal Storage,363
HB-M918,Frame Welding,270
LE-3800,Subassembly,625
HN-3824,Tool Crib,619
HJ-1428,Subassembly,334
LW-4000,Subassembly,630
LW-5160,Subassembly,632
LW-8000,Subassembly,638
LN-7161,Miscellaneous Storage,505
LN-1224,Subassembly,507
LN-1220,Miscellaneous Storage,529
LJ-5811,Tool Crib,614
LJ-1213,Subassembly,497
LW-6000,Subassembly,635
RF-9198,Subassembly,121
BL-2036,Frame Forming,388
LI-1000,Subassembly,156
LI-1201,Tool Crib,427
BK-R89B-48,Final Assembly,49
FW-R762,Subassembly,384
BK-M82B-38,Final Assembly,56
SD-9872,Final Assembly,107
SS-2985,Final Assembly,542
BK-R19B-58,Finished Goods Storage,88
BK-M18B-40,Finished Goods Storage,51
BK-M18B-48,Finished Goods Storage,60
FR-M21S-40,Subassembly,81
SA-T467,Final Assembly,222
LN-9080,Subassembly,497
LJ-5162,Tool Crib,611
FH-2981,Metal Storage,344
PD-T852,Miscellaneous Storage,262
TI-R628,Miscellaneous Storage,382
BK-M18S-44,Finished Goods Storage,123
SP-2981,Miscellaneous Storage,336
HS-2451,Tool Crib,288
FR-M63B-38,Final Assembly,126
BK-R89B-52,Finished Goods Storage,100
BK-R89R-48,Final Assembly,86
FW-R762,Metal Storage,409
FR-R72Y-38,Subassembly,153
BB-9108,Subassembly,174
SJ-0194-M,Finished Goods Storage,0
FR-M21S-40,Frame Forming,112
FR-M21S-40,Debur and Polish,123
CB-2903,Tool Crib,481
HJ-5811,Miscellaneous Storage,353
FW-3400,Final Assembly,382
LN-1224,Tool Crib,630
RF-9198,Tool Crib,316
LW-7160,Subassembly,636
LW-5160,Miscellaneous Storage,577
CA-6738,Tool Crib,136
EC-M092,Subassembly,476
SJ-0194-S,Finished Goods Storage,324
SO-R809-L,Finished Goods Storage,288
SK-9283,Subassembly,702
BK-M82B-48,Final Assembly,65
BK-M47B-40,Finished Goods Storage,102
RW-M423,Subassembly,256
FK-1639,Subassembly,273
RD-2308,Miscellaneous Storage,355
TT-M928,Miscellaneous Storage,286
EC-T209,Subassembly,457
LI-1200,Miscellaneous Storage,603
HN-8320,Miscellaneous Storage,355
HJ-9080,Tool Crib,284
LW-1400,Subassembly,625
PA-823Y,Paint Shop,30
LN-1032,Subassembly,513
LJ-1213,Miscellaneous Storage,515
LJ-1420,Tool Crib,617
HN-5161,Subassembly,654
GT-1209,Subassembly,260
RD-2308,Subassembly,155
CS-6583,Metal Storage,342
LT-H903,Finished Goods Storage,216
BK-R50R-62,Final Assembly,81
SH-9312,Subassembly,624
BK-R68R-44,Finished Goods Storage,30
BK-M82S-48,Final Assembly,102
BK-R89R-58,Final Assembly,123
BK-M68S-38,Finished Goods Storage,75
FR-M63B-38,Subassembly,148
BK-T79Y-50,Final Assembly,62
FD-2342,Frame Forming,236
TI-T723,Miscellaneous Storage,233
LI-6000,Miscellaneous Storage,281
PA-187B,Paint Shop,17
SA-R127,Subassembly,323
MS-6061,Metal Storage,318
LW-1000,Miscellaneous Storage,566
HJ-3416,Subassembly,326
HJ-5162,Miscellaneous Storage,360
FW-9160,Tool Crib,328
EC-T209,Frame Forming,566
HN-7162,Miscellaneous Storage,150
HJ-5818,Miscellaneous Storage,155
TI-M823,Subassembly,232
SE-M236,Miscellaneous Storage,400
SE-T312,Subassembly,171
BK-T18Y-58,Finished Goods Storage,81
BK-M68B-42,Finished Goods Storage,65
BK-R93R-62,Finished Goods Storage,73
BK-R93R-44,Finished Goods Storage,102
HB-R504,Frame Welding,267
VE-C304-L,Finished Goods Storage,252
HN-1420,Subassembly,350
HN-1428,Tool Crib,163
HN-6320,Tool Crib,299
HN-3410,Tool Crib,169
HN-3410,Subassembly,363
LR-2398,Subassembly,504
MB-2024,Frame Forming,353
PA-529S,Paint,4
LW-3400,Subassembly,627
LW-5800,Tool Crib,512
LJ-5818,Miscellaneous Storage,512
HN-9161,Subassembly,603
LE-1201,Miscellaneous Storage,344
CB-2903,Subassembly,283
FR-M94B-38,Paint,107
HL-U509-R,Finished Goods Storage,288
BK-M47B-48,Finished Goods Storage,52
PD-R347,Tool Crib,169
BK-R79Y-42,Finished Goods Storage,67
BK-T44U-46,Final Assembly,60
BK-M18B-44,Finished Goods Storage,81
SE-T312,Miscellaneous Storage,248
BK-T44U-60,Finished Goods Storage,116
KW-4091,Tool Crib,316
LI-1200,Subassembly,459
LE-6000,Subassembly,292
LI-8000,Tool Crib,243
MT-1000,Subassembly,606
SA-T872,Final Assembly,225
LJ-1428,Miscellaneous Storage,510
BA-8327,Tool Crib,427
PD-R853,Tool Crib,316
HB-R504,Frame Forming,257
BK-R64Y-44,Final Assembly,99
RW-M423,Miscellaneous Storage,425
BK-M68S-42,Final Assembly,121
BK-M82S-44,Final Assembly,75
PD-M282,Tool Crib,174
FC-3654,Subassembly,313
FC-3982,Frame Forming,281
HJ-3824,Tool Crib,318
HJ-1213,Subassembly,374
LI-5160,Subassembly,516
HN-1032,Miscellaneous Storage,649
LN-3824,Miscellaneous Storage,496
RM-R800,Subassembly,281
LJ-5162,Miscellaneous Storage,505
HN-9168,Tool Crib,339
FW-3800,Subassembly,315
FR-M63S-38,Specialized Paint,105
FR-M63S-38,Subassembly,158
BK-M18S-42,Final Assembly,104
BK-T18U-50,Final Assembly,78
BK-R89B-58,Final Assembly,83
HB-R956,Frame Forming,251
FW-M423,Metal Storage,265
TG-W091-S,Finished Goods Storage,324
SO-B909-L,Finished Goods Storage,216
LJ-0192-L,Finished Goods Storage,216
BK-T79U-54,Final Assembly,60
PD-M562,Tool Crib,171
FL-2301,Metal Storage,300
HJ-1428,Miscellaneous Storage,315
LJ-5811,Miscellaneous Storage,508
LI-8000,Miscellaneous Storage,278
LN-5161,Miscellaneous Storage,486
LR-8520,Miscellaneous Storage,204
SA-M687,Miscellaneous Storage,270
MS-6061,Sheet Metal Racks,312
MB-2024,Metal Storage,323
MB-6061,Metal Storage,568
MB-6061,Frame Forming,622
PB-6109,Subassembly,273
LW-1000,Tool Crib,499
LJ-1220,Subassembly,496
HJ-3824,Miscellaneous Storage,299
AR-5381,Miscellaneous Storage,324
CS-2812,Metal Storage,568
HN-3816,Tool Crib,299
TT-R982,Miscellaneous Storage,264
HB-T928,Frame Forming,244
BK-T79U-46,Final Assembly,86
BK-T18U-44,Finished Goods Storage,91
BK-M18B-48,Final Assembly,104
BK-R19B-44,Finished Goods Storage,123
BB-9108,Miscellaneous Storage,475
RC-0291,Miscellaneous Storage,136
BK-R50B-44,Finished Goods Storage,67
RW-R820,Miscellaneous Storage,432
BK-R50R-44,Finished Goods Storage,75
HB-T721,Frame Forming,248
RB-9231,Miscellaneous Storage,228
HJ-9161,Subassembly,278
FW-7160,Tool Crib,323
LW-1201,Subassembly,624
SA-M687,Subassembly,321
FW-5160,Subassembly,476
FC-3982,Metal Storage,179
HJ-3410,Miscellaneous Storage,643
HN-7161,Subassembly,497
LE-8000,Miscellaneous Storage,552
SE-T762,Miscellaneous Storage,161
TI-M267,Miscellaneous Storage,240
CS-4759,Tool Crib,265
BK-R50B-48,Finished Goods Storage,73
BK-M82B-38,Finished Goods Storage,99
FR-M94S-38,Frame Welding,145
FW-R820,Metal Storage,446
FR-M63B-38,Debur and Polish,137
FR-M63S-38,Frame Forming,120
HJ-7162,Miscellaneous Storage,344
HJ-5161,Tool Crib,643
RM-R436,Subassembly,316
MS-2341,Sheet Metal Racks,689
SA-R430,Final Assembly,219
RA-7490,Tool Crib,388
LN-7161,Tool Crib,611
FW-9160,Final Assembly,342
HN-5161,Miscellaneous Storage,710
PD-R853,Subassembly,323
RD-2308,Tool Crib,337
BK-M47B-44,Final Assembly,108
HB-M918,Subassembly,310
FK-9939,Frame Forming,252
CS-6583,Subassembly,291
LE-5160,Miscellaneous Storage,344
LE-5160,Subassembly,296
KW-4091,Subassembly,321
FW-1200,Final Assembly,336
BE-2908,Miscellaneous Storage,422
LN-1024,Tool Crib,633
LJ-7162,Tool Crib,624
LN-8320,Subassembly,494
LW-1000,Subassembly,620
MP-2503,Frame Forming,457
LW-4000,Tool Crib,508
SE-M940,Subassembly,168
PD-M340,Tool Crib,172
BK-R79Y-48,Final Assembly,123
BK-T79U-60,Final Assembly,99
HB-R504,Subassembly,307
BK-M82B-44,Finished Goods Storage,49
BK-R93R-52,Finished Goods Storage,52
SK-9283,Miscellaneous Storage,888
SH-M897-M,Finished Goods Storage,108
LT-T990,Finished Goods Storage,144
VE-C304-S,Finished Goods Storage,180
SE-R908,Final Assembly,246
MT-1000,Miscellaneous Storage,619
LJ-7161,Tool Crib,620
LJ-7162,Subassembly,500
LN-1220,Subassembly,512
LI-7160,Miscellaneous Storage,280
CR-9981,Tool Crib,603
GP-0982,Tool Crib,276
LE-1000,Tool Crib,313
HN-5162,Subassembly,366
FW-1400,Tool Crib,568
FR-R72Y-38,Final Assembly,131
FR-M94B-38,Debur and Polish,148
BK-R64Y-44,Finished Goods Storage,30
BE-2908,Subassembly,388
FW-5160,Tool Crib,585
HN-5811,Tool Crib,292
LI-5800,Subassembly,388
LJ-9080,Subassembly,504
LN-1024,Subassembly,510
LW-3400,Miscellaneous Storage,572
PA-823Y,Paint,44
RM-M464,Miscellaneous Storage,673
RM-M464,Subassembly,542
SD-2342,Miscellaneous Storage,164
LW-5800,Subassembly,633
MS-2341,Metal Storage,515
